field_name,field_type,field_length,field_alias,nullability,field_domain
identity,Integer,4,Standard Identity,NULLABLE,Identity
context,SmallInteger,2,Context,NULLABLE,Context
symbolset,SmallInteger,2,Symbol Set,NON_NULLABLE,
entity,Integer,4,Ship Type Entity,NULLABLE,Sea_Surface_Entities
modifier1,Integer,4,Modifier 1,NULLABLE,Sea_Surface_Modifier_Ones
modifier2,Integer,4,Modifier 2,NULLABLE,Sea_Surface_Modifier_Twos
array,Integer,4,Auxiliary Equipment Indicator,NULLABLE,Arrays
indicator,Integer,4,"HQ, Task Force, Feint/Dummy",NULLABLE,HQTFFD
operationalcondition,Integer,4,Operational Condition,NULLABLE,Operational_Condition_Amplifier
uniquedesignation,String,21,Unique Designation or Track Number,NULLABLE,
additionalinformation,String,500,Additional Information,NULLABLE,
staffcomment,String,500,Staff Comments,NULLABLE,
idmode,String,15,Automatic Identification System,NULLABLE,
specialdesignator,String,3,Special Track Designator,NULLABLE,
guardedunit,String,2,Guarded Unit,NULLABLE,
type,String,255,Type of Equipment,NULLABLE,
speed,SmallInteger,2,Speed,NULLABLE,
x,Double,8,X Location,NULLABLE,
y,Double,8,Y Location,NULLABLE,
size,SmallInteger,2,Symbol Size,NULLABLE,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,
datetimevalid,Date,8,Date Time Valid,NULLABLE,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,
createdby,String,50,Created By,NULLABLE,
createdtime,Date,8,Created Time,NULLABLE,
editedby,String,50,Edited By,NULLABLE,
editedtime,Date,8,Edited Time,NULLABLE,
specialheadquarters,String,10,Special C2 Headquarters,NULLABLE,
