filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Subsurface\35110000.emf,64,Military (Sea Subsurface),Sea Subsurface : Main Icon,Sea Subsurface;Military;NEW_AT_2525D;MAIN;Point;Military (Sea Subsurface);35110000,35110000,Point,
{Symbols_Root}\Appendices\Subsurface\35110100.emf,64,Military (Sea Subsurface) : Submarine,Sea Subsurface : Main Icon,Sea Subsurface;Military;Submarine;S*UPS-----*****;MAIN;Point;Military (Sea Subsurface) : Submarine;35110100,35110100,Point,
{Symbols_Root}\Appendices\Subsurface\35110101.emf,64,Military (Sea Subsurface) : Submarine : Submarine-Surfaced,Sea Subsurface : Main Icon,Sea Subsurface;Military;Submarine;Submarine-Surfaced;S*UPSF----*****;MAIN;Point;Military (Sea Subsurface) : Submarine : Submarine-Surfaced;35110101,35110101,Point,
{Symbols_Root}\Appendices\Subsurface\35110102.emf,64,Military (Sea Subsurface) : Submarine : Submarine-Snorkeling,Sea Subsurface : Main Icon,Sea Subsurface;Military;Submarine;Submarine-Snorkeling;S*UPSK----*****;MAIN;Point;Military (Sea Subsurface) : Submarine : Submarine-Snorkeling;35110102,35110102,Point,
{Symbols_Root}\Appendices\Subsurface\35110103.emf,64,Military (Sea Subsurface) : Submarine : Submarine-Bottomed,Sea Subsurface : Main Icon,Sea Subsurface;Military;Submarine;Submarine-Bottomed;S*UPSB----*****;MAIN;Point;Military (Sea Subsurface) : Submarine : Submarine-Bottomed;35110103,35110103,Point,
{Symbols_Root}\Appendices\Subsurface\35110200.emf,64,Military (Sea Subsurface) : Other Submersible,Sea Subsurface : Main Icon,Sea Subsurface;Military;Other Submersible;S*UPSO----*****;MAIN;Point;Military (Sea Subsurface) : Other Submersible;35110200,35110200,Point,
{Symbols_Root}\Appendices\Subsurface\35110300.emf,64,Military (Sea Subsurface) : Nonsubmarine,Sea Subsurface : Main Icon,Sea Subsurface;Military;Nonsubmarine;S*UPSX----*****;FULL_OCTAGON;Point;Military (Sea Subsurface) : Nonsubmarine;35110300,35110300,Point,
{Symbols_Root}\Appendices\Subsurface\35110400.emf,64,Military (Sea Subsurface) : Autonomous Underwater Vehicle (AUV),Sea Subsurface : Main Icon,Sea Subsurface;Military;Autonomous Underwater Vehicle (AUV)/Unmanned Underwater Vehicle (UUV);S*UPSU----*****;MAIN;Point;Military (Sea Subsurface) : Autonomous Underwater Vehicle (AUV);35110400,35110400,Point,
{Symbols_Root}\Appendices\Subsurface\35110500.emf,64,Military (Sea Subsurface) : Diver,Sea Subsurface : Main Icon,Sea Subsurface;Military;Diver;NEW_AT_2525D;MAIN;Point;Military (Sea Subsurface) : Diver;35110500,35110500,Point,
{Symbols_Root}\Appendices\Subsurface\35120000.emf,64,Civilian (Sea Subsurface),Sea Subsurface : Main Icon,Sea Subsurface;Civilian;NEW_AT_2525D;MAIN;Point;Civilian (Sea Subsurface);35120000,35120000,Point,
{Symbols_Root}\Appendices\Subsurface\35120100.emf,64,Civilian (Sea Subsurface) : Submersible,Sea Subsurface : Main Icon,Sea Subsurface;Civilian;Submersible;NEW_AT_2525D;MAIN;Point;Civilian (Sea Subsurface) : Submersible;35120100,35120100,Point,
