filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\Land\10110000.emf,32,Land Units : Command and Control,Land Units : Main Icon,Land Units;Command and Control;Appendices\Land\10110000.svg;Point;Land Units : Command and Control;10110000,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10110100.emf,32,Land Units : Command and Control : Broadcast Transmitter Antennae,Land Units : Main Icon,Land Units;Command and Control;Broadcast Transmitter Antennae;Appendices\Land\10110100.svg;Point;Land Units : Command and Control : Broadcast Transmitter Antennae;10110100,icon is FULL_OCTAGON;image file does not exist;
{Symbols_Root}\Appendices\Land\10110200.emf,32,Land Units : Command and Control : Civil Affairs,Land Units : Main Icon,Land Units;Command and Control;Civil Affairs;Appendices\Land\10110200.svg;Point;Land Units : Command and Control : Civil Affairs;10110200,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10110300.emf,32,Land Units : Command and Control : Civil-Military Cooperation,Land Units : Main Icon,Land Units;Command and Control;Civil-Military Cooperation;Appendices\Land\10110300.svg;Point;Land Units : Command and Control : Civil-Military Cooperation;10110300,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10110400.emf,32,Land Units : Command and Control : Information Operations,Land Units : Main Icon,Land Units;Command and Control;Information Operations;Appendices\Land\10110400.svg;Point;Land Units : Command and Control : Information Operations;10110400,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10110500.emf,32,Land Units : Command and Control : Liaison,Land Units : Main Icon,Land Units;Command and Control;Liaison;Appendices\Land\10110500.svg;Point;Land Units : Command and Control : Liaison;10110500,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10110600.emf,32,Land Units : Command and Control : Military Information Support Operations (MISO),Land Units : Main Icon,Land Units;Command and Control;Military Information Support Operations (MISO);Appendices\Land\10110600.svg;Point;Land Units : Command and Control : Military Information Support Operations (MISO);10110600,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10110601.emf,32,Land Units : Command and Control : Military Information Support Operations (MISO) : Broadcast Transmitter Antennae,Land Units : Main Icon,Land Units;Command and Control;Military Information Support Operations (MISO);Broadcast Transmitter Antennae;Appendices\Land\10110601.svg;Point;Land Units : Command and Control : Military Information Support Operations (MISO) : Broadcast Transmitter Antennae;10110601,icon is FULL_OCTAGON;image file does not exist;styleItemTags > 255;
{Symbols_Root}\Appendices\Land\10110700.emf,32,Land Units : Command and Control : Radio,Land Units : Main Icon,Land Units;Command and Control;Radio;Appendices\Land\10110700.svg;Point;Land Units : Command and Control : Radio;10110700,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10110800.emf,32,Land Units : Command and Control : Radio Relay,Land Units : Main Icon,Land Units;Command and Control;Radio Relay;Appendices\Land\10110800.svg;Point;Land Units : Command and Control : Radio Relay;10110800,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10110900.emf,32,Land Units : Command and Control : Radio Teletype Center,Land Units : Main Icon,Land Units;Command and Control;Radio Teletype Center;Appendices\Land\10110900.svg;Point;Land Units : Command and Control : Radio Teletype Center;10110900,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10111000_2.emf,32,Land Units : Command and Control : Signal,Land Units : Main Icon,Land Units;Command and Control;Signal;Appendices\Land\10111000_2.svg;Point;Land Units : Command and Control : Signal;10111000,icon is FULL_FRAME;image file does not exist;icon touches frame;
{Symbols_Root}\Appendices\Land\10111001_2.emf,32,Land Units : Command and Control : Signal : Radio,Land Units : Main Icon,Land Units;Command and Control;Signal;Radio;Appendices\Land\10111001_2.svg;Point;Land Units : Command and Control : Signal : Radio;10111001,icon is FULL_FRAME;image file does not exist;icon touches frame;
{Symbols_Root}\Appendices\Land\10111002_2.emf,32,Land Units : Command and Control : Signal : Radio Relay,Land Units : Main Icon,Land Units;Command and Control;Signal;Radio Relay;Appendices\Land\10111002_2.svg;Point;Land Units : Command and Control : Signal : Radio Relay;10111002,icon is FULL_FRAME;image file does not exist;icon touches frame;
{Symbols_Root}\Appendices\Land\10111003_2.emf,32,Land Units : Command and Control : Signal : Teletype,Land Units : Main Icon,Land Units;Command and Control;Signal;Teletype;Appendices\Land\10111003_2.svg;Point;Land Units : Command and Control : Signal : Teletype;10111003,icon is FULL_FRAME;image file does not exist;icon touches frame;
{Symbols_Root}\Appendices\Land\10111004_2.emf,32,Land Units : Command and Control : Signal : Tactical Satellite,Land Units : Main Icon,Land Units;Command and Control;Signal;Tactical Satellite;Appendices\Land\10111004_2.svg;Point;Land Units : Command and Control : Signal : Tactical Satellite;10111004,icon is FULL_FRAME;image file does not exist;icon touches frame;
{Symbols_Root}\Appendices\Land\10111005_2.emf,32,Land Units : Command and Control : Signal : Video Imagery (Combat Camera),Land Units : Main Icon,Land Units;Command and Control;Signal;Video Imagery (Combat Camera);Appendices\Land\10111005_2.svg;Point;Land Units : Command and Control : Signal : Video Imagery (Combat Camera);10111005,icon is FULL_FRAME;image file does not exist;icon touches frame;
{Symbols_Root}\Appendices\Land\10111100.emf,32,Land Units : Command and Control : Tactical Satellite,Land Units : Main Icon,Land Units;Command and Control;Tactical Satellite;Appendices\Land\10111100.svg;Point;Land Units : Command and Control : Tactical Satellite;10111100,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\Land\10111200.emf,32,Land Units : Command and Control : Video Imagery (Combat Camera),Land Units : Main Icon,Land Units;Command and Control;Video Imagery (Combat Camera);Appendices\Land\10111200.svg;Point;Land Units : Command and Control : Video Imagery (Combat Camera);10111200,icon is MAIN;image file does not exist;
