filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\ControlMeasures\25110100.a.emf,64,Command and Control Lines : Boundary,Control Measure : Line,Control Measure;Command and Control Lines;Boundary;G*GPGLB---****X;MAIN;Line;Command and Control Lines : Boundary;25110100,25110100,Line,
{Symbols_Root}\Appendices\ControlMeasures\25110200.emf,64,Command and Control Lines : Light Line,Control Measure : Line,Control Measure;Command and Control Lines;Light Line;G*GPGLL---****X;MAIN;Line;Command and Control Lines : Light Line;25110200,25110200,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140101.emf,64,Maneuver Lines : Forward Line of Troops : Friendly Present,Control Measure : Line,Control Measure;Maneuver Lines;Forward Line of Troops;Friendly Present;G*GPGLF---****X;MAIN;Line;Maneuver Lines : Forward Line of Troops : Friendly Present;25140101,25140101,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140102.emf,64,Maneuver Lines : Forward Line of Troops : Friendly Planned or on Order,Control Measure : Line,Control Measure;Maneuver Lines;Forward Line of Troops;Friendly Planned or on Order;G*GPGLF---****X;MAIN;Line;Maneuver Lines : Forward Line of Troops : Friendly Planned or on Order;25140102,25140102,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140103.a.emf,64,Maneuver Lines : Forward Line of Troops : Enemy Known,Control Measure : Line,Control Measure;Maneuver Lines;Forward Line of Troops;Enemy Known;G*GPGLF---****X;MAIN;Line;Maneuver Lines : Forward Line of Troops : Enemy Known;25140103,25140103,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140104.a.emf,64,Maneuver Lines : Forward Line of Troops : Enemy Suspected or Templated,Control Measure : Line,Control Measure;Maneuver Lines;Forward Line of Troops;Enemy Suspected or Templated;G*GPGLF---****X;MAIN;Line;Maneuver Lines : Forward Line of Troops : Enemy Suspected or Templated;25140104,25140104,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140300.emf,64,Maneuver Lines : Phase Line,Control Measure : Line,Control Measure;Maneuver Lines;Phase Line;G*GPGLP---****X;MAIN;Line;Maneuver Lines : Phase Line;25140300,25140300,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140400.emf,64,Maneuver Lines : Forward Edge of the Battle Area,Control Measure : Line,Control Measure;Maneuver Lines;Forward Edge of the Battle Area;G*GPDLF---****X;MAIN;Line;Maneuver Lines : Forward Edge of the Battle Area;25140400,25140400,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140401.emf,64,Maneuver Lines : Forward Edge of the Battle Area : Proposed or On Order,Control Measure : Line,Control Measure;Maneuver Lines;Forward Edge of the Battle Area;Proposed or On Order;NEW_AT_2525D;MAIN;Line;Maneuver Lines : Forward Edge of the Battle Area : Proposed or On Order;25140401,25140401,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140500.emf,64,Maneuver Lines : Principle Direction of Fire,Control Measure : Line,Control Measure;Maneuver Lines;Principle Direction of Fire;G*GPDLP---****X;MAIN;gct_two_line;Line;Maneuver Lines : Principle Direction of Fire;25140500,25140500,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140601.emf,64,Maneuver Lines : Direction of Attack : Friendly Aviation,Control Measure : Line,Control Measure;Maneuver Lines;Direction of Attack;Friendly Aviation;G*GPOLKA--****X;MAIN;gct_arrow;Line;Maneuver Lines : Direction of Attack : Friendly Aviation;25140601,25140601,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140602.emf,64,Maneuver Lines : Direction of Attack : Friendly Direction of Main Attack,Control Measure : Line,Control Measure;Maneuver Lines;Direction of Attack;Friendly Direction of Main Attack;G*GPOLKGM-****X;MAIN;gct_arrow;Line;Maneuver Lines : Direction of Attack : Friendly Direction of Main Attack;25140602,25140602,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140603.emf,64,Maneuver Lines : Direction of Attack : Friendly Direction of Supporting Attack,Control Measure : Line,Control Measure;Maneuver Lines;Direction of Attack;Friendly Direction of Supporting Attack;G*GPOLKGS-****X;MAIN;gct_arrow;Line;Maneuver Lines : Direction of Attack : Friendly Direction of Supporting Attack;25140603,25140603,Line,
{Symbols_Root}\Appendices\ControlMeasures\25140604.emf,64,Maneuver Lines : Direction of Attack : Friendly Planned or On Order,Control Measure : Line,Control Measure;Maneuver Lines;Direction of Attack;Friendly Planned or On Order;NEW_AT_2525D;MAIN;gct_arrow;Line;Maneuver Lines : Direction of Attack : Friendly Planned or On Order;25140604,25140604,Line,
