field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_setsubtypes, field_subtype, field_notes
identity,Integer,4,Standard Identity,NULLABLE,Identity,,FALSE,,
context,SmallInteger,2,Context,NULLABLE,Context,,FALSE,,
symbolset,SmallInteger,2,Symbol Set,NULLABLE,SIGINT,,FALSE,,
symbolentity,Integer,4,SIGINT Entity,NULLABLE,SIGINT_Entities,,FALSE,,
modifier1,Integer,4,Modifier 1,NULLABLE,SIGINT_Modifier_Ones,,FALSE,,
sigintmobility,String,1,SIGINT Mobility,NULLABLE,SIGINTMobility,,FALSE,,
uniquedesignation,String,30,Unique Designation,NULLABLE,,,FALSE,,
additionalinformation,String,20,Additional Information,NULLABLE,,,FALSE,,
staffcomment,String,20,Staff Comments,NULLABLE,,,FALSE,,
higherformation,String,21,Higher Formation,NULLABLE,,,FALSE,,
platformtype,String,5,Platform Type (ELNOT or CENOT),NULLABLE,,,FALSE,,
equipmentteardown,SmallInteger,2,Equipment Teardown Time (min),NULLABLE,,,FALSE,,
commonidentifier,String,12,Common Identifier,NULLABLE,,,FALSE,,
credibility,SmallInteger,2,Credibility,NULLABLE,Credibility,,FALSE,,
reliability,String,2,Reliability,NULLABLE,Reliability,,FALSE,,
signatureequipment,String,1,Signature Equipment (hostile),NULLABLE,,,FALSE,,
type,String,24,Type of Equipment,NULLABLE,,,FALSE,,
quantity,SmallInteger,2,Quantity,NULLABLE,,,FALSE,,
specialdesignator,String,3,Special Track Designator,NULLABLE,,,FALSE,,
guardedunit,String,2,Guarded Unit,NULLABLE,,,FALSE,,
direction,SmallInteger,2,Direction,NULLABLE,Direction,,FALSE,,
speed,SmallInteger,2,Speed,NULLABLE,,,FALSE,,
speedunit,String,3,Speed Unit,NULLABLE,SpeedUnits,,FALSE,,
x,Double,8,X Location,NULLABLE,,,FALSE,,
y,Double,8,Y Location,NULLABLE,,,FALSE,,
z,Double,8,Altitude/Depth,NULLABLE,,,FALSE,,
size,SmallInteger,2,Symbol Size,NULLABLE,,,FALSE,,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,,,FALSE,,
countrycode,String,3,Country Code,NULLABLE,CountryCodes,,FALSE,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,FALSE,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,FALSE,,
createdby,String,50,Created By,NULLABLE,,,FALSE,,
createdtime,Date,8,Created Time,NULLABLE,,,FALSE,,
editedby,String,50,Edited By,NULLABLE,,,FALSE,,
editedtime,Date,8,Edited Time,NULLABLE,,,FALSE,,
civilian,SmallInteger,2,Civilian,NULLABLE,TrueFalse,0,FALSE,,
