field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_setsubtypes, field_subtype, field_notes
affiliation,String,25,Affiliation,NULLABLE,Affiliation,,FALSE,,
extendedfunctioncode,String,150,Extended Function Code,NULLABLE,Activities,,FALSE,,
echelonmobility,String,30,Echelon/Mobility,NULLABLE,EchelonMobility,,FALSE,,
status,String,20,Status,NULLABLE,Statuses,,FALSE,,
hqtffd,String,30,HQ/TF/FD,NULLABLE,HQ_TF_FD,,FALSE,,
uniquedesignation,String,30,Unique Designation,NULLABLE,,,FALSE,,
additionalinformation,String,20,Additional Information,NULLABLE,,,FALSE,,
staffcomment,String,20,Staff Comments,NULLABLE,,,FALSE,,
reinforced,SmallInteger,2,Reinforced or Reduced,NULLABLE,Reinforced,,FALSE,,
combateffectiveness,String,5,Combat Effectiveness,NULLABLE,CombatEffectiveness,,FALSE,,
credibility,SmallInteger,2,Credibility,NULLABLE,Credibility,,FALSE,,
reliability,String,2,Reliability,NULLABLE,Reliability,,FALSE,,
idmode,String,15,IFF/SIF/AIS,NULLABLE,,,FALSE,,
quantity,SmallInteger,2,Quantity,NULLABLE,,,FALSE,,
x,Double,8,X Location,NULLABLE,,,FALSE,,
y,Double,8,Y Location,NULLABLE,,,FALSE,,
z,Double,8,Altitude/Depth,NULLABLE,,,FALSE,,
size,SmallInteger,2,Symbol Size,NULLABLE,,,FALSE,,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,,,FALSE,,
countrycode,String,3,Country Code,NULLABLE,CountryCodes,,FALSE,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,FALSE,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,FALSE,,
createdby,String,50,Created By,NULLABLE,,,FALSE,,
createdtime,Date,8,Created Time,NULLABLE,,,FALSE,,
editedby,String,50,Edited By,NULLABLE,,,FALSE,,
editedtime,Date,8,Edited Time,NULLABLE,,,FALSE,,
civilian,SmallInteger,2,Civilian,NULLABLE,TrueFalse,0,FALSE,,
